,product_clasters,pr_sku_id
0,26,002c3a40ac50dc870f1ff386f11f5bae
1,26,0045ebdb1069ff4b3dd3efe628c39cd3
2,26,005c52de11abaf8e0a9714b24415ce34
3,26,0063fbd948a3d7368ba9d97739bfe2cc
4,10,00661699f543753ec7e911a64b9fd2f6
5,0,0094042bfeae507dc7f62acc8e5ed03a
6,26,00a631286fff2536dfc128e9cf03e92c
7,28,00b72c2f01a1512cbb1d3f33319bac93
8,1,00d9e3b6725a72b3235a048868691e09
9,26,00f48855a138893e462696650a2375d9
10,26,011fa371d88bc0c9c45f7a03db82d5b7
11,26,0120fa9d93da50a73a6f61838b49ff46
12,26,013b001eb7634d3c9c8b03feb9709de2
13,26,013eae7e2e4dc560798953be950c49a3
14,26,0169529ff660adcac9b7e354e0c4b882
15,10,01e4734745e97e52d3213449e1a05dd7
16,1,025967a3c53711dc29a78cbecc908ecd
17,1,02713435f3587e2c81d8f6a9016763ea
18,26,028601bcf68af10f8be7422c22b5f6a6
19,1,029905c5542302a69b170c91e96f5a14
20,26,02b15d615f6cdba2ff963cdcd4b11984
21,28,033013f94a18c066e8b3d610bed34bee
22,26,0376a60d9a7ce7965beddc4815588697
23,26,039949075759203b159395a2a9ebdf74
24,26,039998779ab43f799071763fe6c5de4e
25,26,03bc5f5c352b0cd65c2a53fadac2157b
26,26,040a02c2ad1561cbcfc9cae5b4c4b73b
27,26,0441bd46e6ba42e4e13885db1d13fb0a
28,1,0448c8afc036bb44c457d7e9edd74c50
29,26,0477944bbda88dbf89b8af9d645740c3
30,26,04bbb07b1057b09d04209991f3eadd8f
31,26,04eb8fb3e5dfd76b10c8687f36559549
32,0,050a8120e2a3b8751df8752fcc0323ef
33,26,0570ab7d07a4f2587f1ad4c4ed77e333
34,26,057ee40097021aadf780849725040fe0
35,26,05a0b334e897df620ab915d173636099
36,26,05b33ac9d1adf49cf37e260b65d722e0
37,16,06076bf3c802444ebc7d5619ab64ceb6
38,28,062aaeb24e661688e2703821f368a258
39,10,064e3a5648fb4a7f911155bd81f87fd2
40,26,068a58e5d99ec6d2680051ee942a11df
41,1,06d2cbdc6bdfd079125b1213f7a943b8
42,26,06f4f315e8decf704eb550a36a3d3e07
43,26,07099ab33faf098a1571b184a7dd369b
44,1,072e81e77edf6f7370bc290b32c9bb81
45,26,077e45479b8f34cd841d6d4809156727
46,26,078f153f8f0781ed1d7332880f4c03f6
47,26,0796ad00c36e07e171aeea8b65057fa3
48,26,079d0c4a23d055f4afcfecb6f55cf8f9
49,26,07a0866f0021bf148228425a6cc6d5a2
50,1,07fcc48bf0cd6433c1e5124a5e1e962d
51,26,08199da3f1cda80d51313d075ef361ec
52,26,082f0c91e23f357bbedbffdc51ef5d7d
53,26,083e7f594409e946662187b13b13868a
54,1,08dc3a654abf4087cedd4b03684c5862
55,26,094df0e0b795f85bfb3939256a2def20
56,26,09b6f670e4f5648aef001e34f7945990
57,1,09bc73e1f521735d97429aa786891473
58,8,0a2090e24b6ae62b0b0fcaa67a72b5a0
59,26,0a29c004feb015fbc590f1e0bd554e3e
60,26,0a2e060bca00686604e4cf1463da77fc
61,1,0a4b9a2513abf8a01e77b4e5f7b60f3c
62,20,0a68dd43c227b0e66d52665d6c3ca8ba
63,10,0a829bf93822e2d5cfb86e4245cd020a
64,26,0ac67744d9cf8b5384406419069cd537
65,16,0ad7341f0f7f634f1f3d24ed53e0788c
66,26,0afdf8c03e547e8eef4d1ae3344b5dc6
67,26,0b02ca07ffae9e85258f0fbca673640c
68,26,0b20fd57b4ccc3f9c625e9bc71b10a43
69,26,0b7e80ea039483dff58730afc2a65ece
70,26,0ba2b4a27d85d6cd50440966d529ecad
71,1,0badffff644779ebe5b83b9a78aaefc4
72,26,0bb9a80577550635ef549f1b1906d57e
73,26,0bc29231d7318d25602abc9373c5f665
74,1,0c1b221fe5f5cbaa5b3ebba78a7f2222
75,26,0c24487fc781d57a66d128fa1c3cfd8a
76,26,0c89c87827015efc208f89a2bf2524d4
77,26,0cafaa288c438aca4434ccc082244a8b
78,26,0cb54dc6c273630fc0efdd8e8aa40390
79,3,0cc57d9daaa686e94f9ab541f3026121
80,1,0cc8850f66397af21700e3c060a5210c
81,6,0cf7b480289c0c4b07b6d3bd72fef0c9
82,26,0d4b5a6c32bb2b5c752088cb5628d684
83,26,0d75bf62db7dd75ad94f36f722dfa68d
84,1,0d92995c335a265f30a5d86cadc8c43c
85,26,0db37da92064cc79056cffb46bc8dec0
86,26,0deafbceb556358d4087a8ed17e8ff64
87,26,0df947172e91b3e2ae1b5b972f64d679
88,1,0dffbb0c715c9794aa9cb5b747daaae7
89,26,0e1e064746347f5896ca4ff8b568f3a6
90,1,0e497d3dfb10dc402fbe06de4e0bb233
91,28,0e97d6e7124d6cc9623650201236cd52
92,26,0ea74ab6cea576415bc4258998bc08bb
93,16,0ee7e71061cf860ccf3b29c6823c7971
94,26,0eea3206edb387a3dd1803dc60bcb6b4
95,26,0ef849f1692a8eb1c7462ec33078e3b5
96,1,0f127ddd135b33f91edfab345fc77fbf
97,29,0f152427918d29bb1081834c1d375a48
98,26,0f350feab444ada5568545975e911c4c
99,1,0f6ef309087f70a6f933eb0ec50745b4
100,1,0f9f8486fcb1bad82ffe18d5850dc25b
101,26,0fa0012f35f24361b7f8f6d75e3bf710
102,26,0fc5b245448689d3d05756e60cf205d9
103,26,0fe5309a8b04fd718c47a54d36972349
104,26,0ff7d742c244e2bacb145df5b5c6c34a
105,26,100a9210291545e301a4e4cea156ad17
106,1,107bd9ed7ce0d5e347e13b692eb2abb3
107,0,1097627f4fe36c774e8a13d096a9a5ef
108,10,10d26ea8eac593b8e397fc0aad2134c4
109,26,1109fbde130bfcd017e81d7c2ed3b6cf
